team_name_away,player_names_away,player_numbers_away
Mexico,"['Martín', 'Vega', 'Pineda', 'Lozano', 'Chávez', 'Álvarez', 'Gallardo', 'Moreno', 'Montes', 'Sánchez', 'Ochoa']","['20', '10', '17', '22', '24', '4', '23', '15', '3', '19', '13']"
France,"['Guendouzi', 'Kolo Muani', 'Coman', 'Veretout', 'Tchouaméni', 'Fofana', 'Camavinga', 'Konaté', 'Varane', 'Disasi', 'Mandanda']","['6', '12', '20', '15', '8', '13', '25', '24', '4', '3', '16']"
Denmark,"['Lindstrøm', 'Braithwaite', 'Skov Olsen', 'Eriksen', 'Højbjerg', 'Jensen', 'Mæhle', 'Christensen', 'Andersen', 'Kristensen', 'Schmeichel']","['25', '9', '11', '10', '23', '7', '5', '6', '2', '13', '1']"
England,"['Rashford', 'Kane', 'Foden', 'Bellingham', 'Rice', 'Henderson', 'Shaw', 'Maguire', 'Stones', 'Walker', 'Pickford']","['11', '9', '20', '22', '4', '8', '3', '6', '5', '2', '1']"
USA,"['Pulisic', 'Sargent', 'Weah', 'McKennie', 'Adams', 'Musah', 'Robinson', 'Ream', 'Carter-Vickers', 'Dest', 'Turner']","['10', '24', '21', '8', '4', '6', '5', '13', '20', '2', '1']"
Qatar,"['Afif', 'Almoez', 'Abdulaziz', 'Al Haj Madibo', 'Al Haydos', 'Homam', 'Abdelkarim', 'Khoukhi', 'Pedro', 'Ismail', 'Barsham']","['11', '19', '6', '23', '10', '14', '3', '16', '2', '17', '22']"
Senegal,"['Dia', 'Sarr', 'Gueye', 'Ndiaye', 'Gueye', 'Ciss', 'Jakobs', 'Diallo', 'Koulibaly', 'Sabaly', 'Mendy']","['9', '18', '5', '13', '26', '11', '14', '22', '3', '21', '16']"
Uruguay,"['Cavani', 'Núñez', 'Olivera', 'Vecino', 'Bentancur', 'Valverde', 'Varela', 'Coates', 'Godín', 'Giménez', 'Rochet']","['21', '11', '16', '5', '6', '15', '13', '19', '3', '2', '23']"
Switzerland,"['Embolo', 'Vargas', 'Sow', 'Rieder', 'Xhaka', 'Freuler', 'Rodríguez', 'Elvedi', 'Akanji', 'Widmer', 'Sommer']","['7', '17', '15', '25', '10', '8', '13', '4', '5', '3', '1']"
Ghana,"['Iñaki Williams', 'Jordan Ayew', 'André Ayew', 'Kudus', 'Abdul Samed', 'Partey', 'Mensah', 'Salisu', 'Amartey', 'Lamptey', 'Ati-Zigi']","['19', '9', '10', '20', '21', '5', '14', '4', '18', '2', '1']"
Serbia,"['Mitrović', 'Milinković-Savić', 'Tadić', 'Kostić', 'Lukić', 'Maksimović', 'Živković', 'Pavlović', 'Veljkovic', 'Milenković', 'Milinković-Savić']","['9', '20', '10', '17', '16', '6', '14', '2', '5', '4', '23']"
Germany,"['Müller', 'Musiala', 'Gündoğan', 'Gnabry', 'Goretzka', 'Kimmich', 'Raum', 'Rüdiger', 'Süle', 'Kehrer', 'Neuer']","['13', '14', '21', '10', '8', '6', '3', '2', '15', '5', '1']"
Canada,"['Larin', 'David', 'Davies', 'Eustáquio', 'Hutchinson', 'Buchanan', 'Laryea', 'Miller', 'Vitória', 'Johnston', 'Borjan']","['17', '20', '19', '7', '13', '11', '22', '4', '5', '2', '18']"
Morocco,"['Boufal', 'En-Nesyri', 'Ziyech', 'Amallah', 'Amrabat', 'Ounahi', 'Mazraoui', 'Saïss', 'Aguerd', 'Hakimi', 'Munir']","['17', '19', '7', '15', '4', '8', '3', '6', '5', '2', '12']"
Costa Rica,"['Contreras', 'Campbell', 'Torres', 'Oviedo', 'Tejeda', 'Borges', 'Fuller', 'Calvo', 'Waston', 'Duarte', 'Navas']","['7', '12', '13', '8', '17', '5', '4', '15', '19', '6', '1']"
Mexico,"['Vega', 'Lozano', 'Guardado', 'Herrera', 'Chávez', 'Gallardo', 'Moreno', 'Montes', 'Araujo', 'Álvarez', 'Ochoa']","['10', '22', '18', '16', '24', '23', '15', '3', '2', '26', '13']"
Denmark,"['Cornelius', 'Damsgaard', 'Lindstrøm', 'Mæhle', 'Eriksen', 'Højbjerg', 'Kristensen', 'Nelsson', 'Christensen', 'Andersen', 'Schmeichel']","['21', '14', '25', '5', '10', '23', '13', '3', '6', '2', '1']"
Saudi Arabia,"['Al-Shehri', 'Al-Dawsari', 'Kanno', 'Al-Najei', 'Al-Buraikan', 'Al-Malki', 'Al-Breik', 'Al-Bulaihi', 'Al-Amri', 'Abdulhamid', 'Al-Owais']","['11', '10', '23', '16', '9', '8', '6', '5', '4', '12', '21']"
Australia,"['McGree', 'Duke', 'Goodwin', 'Mooy', 'Irvine', 'Leckie', 'Behich', 'Rowles', 'Souttar', 'Karačić', 'Ryan']","['14', '15', '23', '13', '22', '7', '16', '4', '19', '5', '1']"
